NAZIV_NAS;OPCINA;ZUPANIJA;SJEDISTE;BR_ST_01;ID_DZS;POST_BROJ;EASTING;NORTHING
Lubarska;Jelenje;Primorsko-goranska;;85;36307;51218;2339347;5028136.5
Majer;Vrbovsko;Primorsko-goranska;;21;75990;51327;2392652.25;5020362
Vrh Martinšæice;Kostrena;Primorsko-goranska;;492;75680;51221;2342278.265;5019730.437
Glavani;Kostrena;Primorsko-goranska;;491;75531;51221;2343161.5;5019518.5
Žurkovo;Kostrena;Primorsko-goranska;;14;75701;51221;2342750.631;5019038.517
Šodiæi;Kostrena;Primorsko-goranska;;400;75655;51221;2342714.148;5019336.338
Kostrena Sveta Lucija;Kostrena;Primorsko-goranska;Opæine;685;75540;51221;2343627.149;5018873.526
Žuknica;Kostrena;Primorsko-goranska;;160;75698;51221;2343234.75;5018707
Plešiæi;Kostrena;Primorsko-goranska;;28;75582;51221;2344139.45;5018504.968
Dorièiæi;Kostrena;Primorsko-goranska;;44;75515;51221;2343717.5;5018458.5
Rožiæi;Kostrena;Primorsko-goranska;;24;75639;51221;2342887.25;5018485.201
Rožmaniæi;Kostrena;Primorsko-goranska;;204;75647;51221;2344399.75;5018249
Dujmiæi;Kostrena;Primorsko-goranska;;79;75523;51221;2344695;5017975.5
Maraèiæi;Kostrena;Primorsko-goranska;;56;75566;51221;2345028.5;5017764.5
Paveki;Kostrena;Primorsko-goranska;;878;75574;51221;2344418.25;5017649
Randiæi;Kostrena;Primorsko-goranska;;126;75612;51221;2345329.25;5017486.5
Peroviæi;Kostrena;Primorsko-goranska;;32;75604;51221;2344674;5017379
Šoiæi;Kostrena;Primorsko-goranska;;31;75663;51221;2346822.5;5017040.5
Urinj;Kostrena;Primorsko-goranska;;125;75671;51221;2345786.651;5017126.064
Gornje Primišlje;Slunj;Karlovaèka;;8;20044;47244;2420106.25;5002734.5
Porozina;Cres;Primorsko-goranska;;19;76147;51557;2326325.616;4999999.085
Kolanjski Gajac;Pag;Zadarska;;20;75485;23251;2373325;4931693.5
Slivnica;Posedarje;Zadarska;;880;58297;23247;2416352;4899161.5
Veruniæ;Sali;Zadarska;;59;76104;23287;2369089.663;4889102.87
Neèujam;Šolta;Splitsko-dalmatinska;;83;75493;21430;2486251.635;4803499.386
Milna;Vis;Splitsko-dalmatinska;;24;75949;21480;2477904.769;4764915.094
Žaboriæ;Šibenik;Šibensko-kninska;;375;75957;22231;2455630.619;4834535.534
Turkovèina;Bedenica;Zagrebaèka;;373;66443;10381;2480539.162;5099043.449
Bosna;Bedenica;Zagrebaèka;;113;4332;10381;2480414.09;5098354.716
Beloslavec;Bedenica;Zagrebaèka;;294;2259;10381;2478794;5097872.5
Otrèkovec;Bedenica;Zagrebaèka;;44;46221;10381;2479168;5096684.5
Bedenica;Bedenica;Zagrebaèka;Opæine;523;1783;10381;2480774.75;5097798
Omamno;Bedenica;Zagrebaèka;;159;45012;10381;2481130.419;5096107.857
Radoišæe;Sveti Ivan Zelina;Zagrebaèka;;284;53465;10383;2487097.745;5095602.793
Zrinšæina;Sveti Ivan Zelina;Zagrebaèka;;149;73610;10383;2488610.5;5095674
Žitomir;Sveti Ivan Zelina;Zagrebaèka;;192;74349;10380;2476922.808;5096079.968
Gornje Orešje;Sveti Ivan Zelina;Zagrebaèka;;282;19950;10380;2479032.362;5095718.023
Prepolno;Sveti Ivan Zelina;Zagrebaèka;;80;51594;10380;2478265.75;5095849
Novakovec Bisaški;Sveti Ivan Zelina;Zagrebaèka;;23;43630;10380;2482309.25;5095492
Dubovec Bisaški;Sveti Ivan Zelina;Zagrebaèka;;79;15407;10383;2483886.73;5095037.679
Zadrkovec;Sveti Ivan Zelina;Zagrebaèka;;196;71986;10381;2481545.938;5094746.051
Šurdovec;Sveti Ivan Zelina;Zagrebaèka;;46;64351;10381;2482821.75;5094484.5
Komin;Sveti Ivan Zelina;Zagrebaèka;;263;29793;10383;2483739.698;5094488.735
Gornja Velika;Preseka;Zagrebaèka;;82;19607;48265;2493787.756;5093896.903
Ledina;Preseka;Zagrebaèka;;207;34649;10346;2491274.853;5093759.749
Donje Orešje;Sveti Ivan Zelina;Zagrebaèka;;526;12777;10380;2480907.75;5093604
Tomaševec;Sveti Ivan Zelina;Zagrebaèka;;204;64939;10383;2484555.938;5093366.574
Filipoviæi;Sveti Ivan Zelina;Zagrebaèka;;72;16772;10383;2482721.723;5093443.793
Srednja Velika;Preseka;Zagrebaèka;;75;59358;48265;2494914.925;5092713.756
Gornjaki;Preseka;Zagrebaèka;;56;19747;10346;2490277.925;5092748.957
Kladešæica;Sveti Ivan Zelina;Zagrebaèka;;2;28568;10380;2476068.883;5093010.66
Gornji Vinkovec;Sveti Ivan Zelina;Zagrebaèka;;58;21288;10383;2487927.75;5092613.5
Keleminovec;Sveti Ivan Zelina;Zagrebaèka;;140;28266;10383;2484415.817;5092704.068
Kraljev Vrh;Preseka;Zagrebaèka;;111;31577;10346;2492414.519;5091901.223
Vinkovec;Preseka;Zagrebaèka;;183;69256;10346;2488938.573;5092065.337
Salnik;Sveti Ivan Zelina;Zagrebaèka;;73;56367;10383;2487859.988;5091655.25
Šalovec;Sveti Ivan Zelina;Zagrebaèka;;163;62642;10380;2482031;5092039.5
Polonje Tomaševeèko;Sveti Ivan Zelina;Zagrebaèka;;47;50113;10383;2484330.116;5092174.475
Hrastje;Sveti Ivan Zelina;Zagrebaèka;;205;23582;10380;2482442.655;5091657.706
Žabnjak;Preseka;Zagrebaèka;;93;73890;10346;2493329.785;5091658.815
Kalinje;Sveti Ivan Zelina;Zagrebaèka;;249;27146;10380;2480157.25;5092017.5
Krušljevec;Preseka;Zagrebaèka;;88;32905;10346;2490929.5;5091584
Preseka;Preseka;Zagrebaèka;Opæine;126;51667;10346;2491683.018;5091182.162
Èreèan;Sveti Ivan Zelina;Zagrebaèka;;190;9733;10380;2481888.337;5091281.782
Mokrica Tomaševeèka;Sveti Ivan Zelina;Zagrebaèka;;38;41688;10383;2486757.252;5091353.603
Donji Èemehovec;Dubravica;Zagrebaèka;;44;13200;10293;2439043.821;5091351.474
Vadina;Luka;Zagrebaèka;;232;66982;10296;2446895.952;5091819.593
Gornji Tkalec;Vrbovec;Zagrebaèka;;210;21172;48265;2496488.042;5090755.333
Gornja Toplièica;Sveti Ivan Zelina;Zagrebaèka;;116;19534;10380;2480038.5;5091312
Strmec;Preseka;Zagrebaèka;;28;60968;10346;2492632.184;5091033.51
Pretoki;Sveti Ivan Zelina;Zagrebaèka;;293;51772;10380;2481389.25;5090874
Berislavec;Sveti Ivan Zelina;Zagrebaèka;;43;2542;10380;2482338.5;5090933
Polonje;Sveti Ivan Zelina;Zagrebaèka;;378;50105;10383;2484001.75;5090414
Donja Velika;Preseka;Zagrebaèka;;68;12408;48265;2494816.934;5090530.432
Biškupec Zelinski;Sveti Ivan Zelina;Zagrebaèka;;950;3123;10380;2479648.25;5089875
Pluska;Luka;Zagrebaèka;;216;48712;10296;2445675;5091073
Graberšæak;Vrbovec;Zagrebaèka;;86;21709;48265;2495698.438;5090367.731
Pokasin;Gradec;Zagrebaèka;;55;49930;10345;2500639;5089912
Valetiæ;Rakovec;Zagrebaèka;;55;67083;10347;2487556.758;5089782.252
Žejinci;Luka;Zagrebaèka;;410;74071;10296;2448457.069;5090737.428
Prosinec;Dubravica;Zagrebaèka;;114;52558;10293;2439629.725;5090926.049
Sveti Ivan Zelina;Sveti Ivan Zelina;Zagrebaèka;Grada;2665;62049;10380;2480485.25;5089629.5
Slatina;Preseka;Zagrebaèka;;117;58092;10346;2491689.661;5089584.921
Donja Toplièica;Sveti Ivan Zelina;Zagrebaèka;;70;12360;10380;2481603.676;5089805.187
Žunci;Vrbovec;Zagrebaèka;;164;74594;10346;2494608.695;5089137.76
Šelovec;Preseka;Zagrebaèka;;180;62979;10347;2489658;5089135.5
Igrišæe;Jakovlje;Zagrebaèka;;666;24341;10297;2452337.536;5090086.276
Velika Gora;Sveti Ivan Zelina;Zagrebaèka;;81;67741;10380;2476577.56;5089588.084
Breg Mokrièki;Sveti Ivan Zelina;Zagrebaèka;;51;5045;10380;2481941.75;5089492.5
Krajska Ves;Luka;Zagrebaèka;;139;31526;10296;2446486.162;5089598.101
Gornje Psarjevo;Sveti Ivan Zelina;Zagrebaèka;;478;20052;10380;2477596.723;5089239.853
Festinec;Gradec;Zagrebaèka;;69;16713;10345;2500898.676;5088964.109
Donji Tkalec;Vrbovec;Zagrebaèka;;105;14028;48265;2496696.271;5088922.212
Kamenica;Preseka;Zagrebaèka;;56;27260;10346;2492539.25;5089051
Lugarski Breg;Dubravica;Zagrebaèka;;107;36552;10293;2441153.156;5089974.033
Novo Mjesto;Sveti Ivan Zelina;Zagrebaèka;;136;44083;10380;2483961.444;5088881.246
Luka;Luka;Zagrebaèka;Opæine;405;36595;10296;2447702.328;5089810.226
Lukavec Sutlanski;Dubravica;Zagrebaèka;;157;36765;10293;2440658.25;5090108
Šulinec;Sveti Ivan Zelina;Zagrebaèka;;184;64220;10380;2481654.926;5088930.124
Buzadovac;Gradec;Zagrebaèka;;134;7439;10345;2502640;5088139.5
Dubravica;Dubravica;Zagrebaèka;Opæine;144;15628;10293;2440801.869;5089304.171
Vuèilèevo;Dubravica;Zagrebaèka;;149;71374;10293;2439868.75;5089723
Selnica Psarjevaèka;Sveti Ivan Zelina;Zagrebaèka;;233;57118;10380;2479240.785;5088702.813
Repinec;Gradec;Zagrebaèka;;257;54836;10345;2500069.73;5088041.835
Merenje;Zaprešiæ;Zagrebaèka;;157;40509;10295;2445297.584;5089156.917
Dvorišæe;Rakovec;Zagrebaèka;;179;16098;10347;2487637.758;5088249.347
Nespeš;Sveti Ivan Zelina;Zagrebaèka;;378;42994;10382;2477143.218;5088520.923
Poganèec;Preseka;Zagrebaèka;;137;49905;10346;2491433.052;5088031.136
Hruševec Kupljenski;Zaprešiæ;Zagrebaèka;;439;23949;10295;2446141.75;5088868
Kolenica;Rakovec;Zagrebaèka;;24;29599;10347;2489230.25;5087810.5
Hruškovica;Preseka;Zagrebaèka;;53;23973;10340;2493331.75;5087527.5
Bunjak;Sveti Ivan Zelina;Zagrebaèka;;131;7277;10382;2476589.228;5088028.799
Rozga;Dubravica;Zagrebaèka;;157;55719;10293;2440762.529;5088392.8
Donje Psarjevo;Sveti Ivan Zelina;Zagrebaèka;;313;12874;10380;2478900;5087658.5
Podjales;Gradec;Zagrebaèka;;192;49344;10345;2499342.328;5087378.475
Marinovec Zelinski;Sveti Ivan Zelina;Zagrebaèka;;71;39373;10380;2481934.604;5087585.049
Jakovlje;Jakovlje;Zagrebaèka;Opæine;2614;25321;10297;2449528.668;5087180.041
Kreèaves;Sveti Ivan Zelina;Zagrebaèka;;270;32000;10380;2482941.769;5087626.985
Bobovec Rozganski;Dubravica;Zagrebaèka;;410;3573;10293;2441991.758;5088843.294
Tuèenik;Gradec;Zagrebaèka;;123;66141;10345;2502634.557;5087372.617
Glavnica Donja;Grad Zagreb;Grad Zagreb;;626;17876;10363;2472699.404;5087364.681
Kraljev Vrh;Jakovlje;Zagrebaèka;;659;31569;10297;2454523.823;5087820.077
Veliki Brezovec;Gradec;Zagrebaèka;;171;68187;10345;2497828.5;5086432.5
Planina Gornja;Grad Zagreb;Grad Zagreb;;248;48313;10362;2467738.25;5087416.5
Salajci;Gradec;Zagrebaèka;;88;56294;10345;2501989.426;5086685.322
Lipnica;Rakovec;Zagrebaèka;;77;35386;10347;2489801.5;5086996
Lovreèka Velika;Vrbovec;Zagrebaèka;;195;36170;10340;2494926.75;5086341.5
Moravèe;Grad Zagreb;Grad Zagreb;;728;41858;10363;2474547.9;5087206.519
Hudovo;Rakovec;Zagrebaèka;;89;24139;10347;2488979.926;5086745.996
Hruševec Pušæanski;Pušæa;Zagrebaèka;;263;23957;10294;2445411.5;5087498.5
Obrež Zelinski;Sveti Ivan Zelina;Zagrebaèka;;64;44636;10380;2481843.25;5086834
Pologi;Dubravica;Zagrebaèka;;97;50075;10293;2441048;5087568.5
Donja Drenova;Sveti Ivan Zelina;Zagrebaèka;;246;11908;10382;2475372.693;5086667.381
Glavnica Gornja;Grad Zagreb;Grad Zagreb;;249;17884;10363;2472473;5086870.5
Rakovec;Rakovec;Zagrebaèka;Opæine;246;53970;10347;2486043.389;5086433.73
Suhodol Zelinski;Sveti Ivan Zelina;Zagrebaèka;;94;61468;10382;2478163.75;5086499
Gostoviæ;Vrbovec;Zagrebaèka;;153;21512;10340;2496167;5086140
Blaževdol;Sveti Ivan Zelina;Zagrebaèka;;401;3441;10380;2479774.5;5086443
Hruškovec;Rakovec;Zagrebaèka;;71;23965;10347;2487650.737;5086398.147
Kraj Gornji;Dubravica;Zagrebaèka;;201;74918;10292;2440353.75;5087104
Curkovec;Sveti Ivan Zelina;Zagrebaèka;;94;8753;10382;2480510.75;5086467
Remetinec;Gradec;Zagrebaèka;;77;54771;10345;2503969.794;5085883.211
Cerik;Vrbovec;Zagrebaèka;;68;7773;10340;2493209.75;5085966.5
Brezine;Farkaševac;Zagrebaèka;;242;5444;10344;2513617.699;5084835.927
Blaguša;Grad Zagreb;Grad Zagreb;;633;3298;10362;2471797.086;5086050.292
Prašèevac;Farkaševac;Zagrebaèka;;132;51314;10344;2511909.451;5085036.388
Kraj Gornji;Marija Gorica;Zagrebaèka;;151;74900;10293;2440227.25;5086878
Planina Donja;Grad Zagreb;Grad Zagreb;;567;48305;10362;2468358.75;5086075
Majur;Farkaševac;Zagrebaèka;;106;37575;10344;2514601.226;5084053.738
Mali Brezovec;Gradec;Zagrebaèka;;90;38270;10345;2497780.45;5085431.319
Podolec;Vrbovec;Zagrebaèka;;116;49441;10340;2495867.75;5085389
Kupljenovo;Zaprešiæ;Zagrebaèka;;692;33634;10295;2446336.318;5086452.759
Hrnjanec;Sveti Ivan Zelina;Zagrebaèka;;455;23833;10382;2477419.75;5085593
Banièevec;Rakovec;Zagrebaèka;;207;876;10347;2483649.514;5085317.064
Brezani;Rakovec;Zagrebaèka;;137;5363;10347;2487571.354;5085464.049
Gornja Pušæa;Pušæa;Zagrebaèka;;549;19399;10294;2443871;5086373.5
Graberanec;Vrbovec;Zagrebaèka;;1;21652;10340;2490638.25;5085072
Haganj;Gradec;Zagrebaèka;;531;23205;10343;2506426.25;5084350.5
Kuæari;Vrbovec;Zagrebaèka;;63;33146;10340;2495521.75;5085344
Lubena;Gradec;Zagrebaèka;;125;36315;10345;2501413.499;5085091.842
Lukovo;Vrbovec;Zagrebaèka;;182;36889;10340;2492922.261;5085152.907
Kašina;Grad Zagreb;Grad Zagreb;;1455;27936;10362;2471348.756;5083708.592
Marija Magdalena;Pušæa;Zagrebaèka;;243;39233;10294;2442433.5;5086180
Bijela Gorica;Marija Gorica;Zagrebaèka;;162;1988;10293;2439716.727;5085978.463
Gornja Bistra;Bistra;Zagrebaèka;Opæine;1621;18945;10298;2453811.25;5085405.5
Žabnica;Farkaševac;Zagrebaèka;;188;73849;10343;2509233;5083964
Banovo;Vrbovec;Zagrebaèka;;122;965;10340;2495183.883;5084241.192
Bukovec Zelinski;Sveti Ivan Zelina;Zagrebaèka;;396;7099;10382;2478501.76;5085045.087
Gradec;Gradec;Zagrebaèka;Opæine;487;22098;10345;2498680.15;5084440.433
Žlebec Pušæanski;Pušæa;Zagrebaèka;;98;74403;10294;2442817.836;5085675.433
Jesenovec;Grad Zagreb;Grad Zagreb;;442;26298;10363;2472819.75;5085115.5
Blaškovec;Sveti Ivan Zelina;Zagrebaèka;;576;3310;10382;2476186.366;5084561.478
Bregovljana;Pušæa;Zagrebaèka;;84;5126;10294;2445310.161;5085501.418
Krkaè;Vrbovec;Zagrebaèka;;102;32484;10340;2488899.581;5084459.51
Cugovec;Gradec;Zagrebaèka;;389;8702;10345;2501601.775;5083775.67
Stari Glog;Gradec;Zagrebaèka;;115;60135;10343;2503385;5084079
Žlebec Gorièki;Marija Gorica;Zagrebaèka;;77;74390;10294;2441951.25;5084959
Dropèevec;Rakovec;Zagrebaèka;;89;15130;10347;2485236.383;5084374.421
Oborovo Bistransko;Bistra;Zagrebaèka;;908;44571;10298;2452081.588;5084559.805
Maèki;Farkaševac;Zagrebaèka;;105;37290;10344;2512596.539;5083805.523
Celine Gorièke;Marija Gorica;Zagrebaèka;;107;7676;10294;2441426.007;5085142.742
Donja Zelina;Sveti Ivan Zelina;Zagrebaèka;;707;12513;10382;2479419.96;5083974.076
Goli Vrh;Rakovec;Zagrebaèka;;54;18201;10347;2486162.5;5084139.5
Adamovec;Grad Zagreb;Grad Zagreb;;979;27;10363;2474279.493;5083492.876
Kraj Donji;Marija Gorica;Zagrebaèka;;493;31445;10293;2438694.609;5084960.131
Ðivan;Vrbovec;Zagrebaèka;;44;16225;10340;2496061.25;5084032
Kašinska Sopnica;Grad Zagreb;Grad Zagreb;;223;27944;10362;2469599.579;5084359.14
Lovreèka Varoš;Vrbovec;Zagrebaèka;;141;36161;10340;2494069.512;5083991.668
Oplaznik;Marija Gorica;Zagrebaèka;;53;45179;10299;2440475.124;5084948.346
Donja Pušæa;Pušæa;Zagrebaèka;Opæine;745;12211;10294;2444308.013;5085047.394
Topolovec;Vrbovec;Zagrebaèka;;103;65161;10340;2492754.75;5083304
Mlaka;Rakovec;Zagrebaèka;;125;41505;10347;2484136.863;5083955.698
Zvonik;Farkaševac;Zagrebaèka;;89;73776;10344;2511064.2;5083009.783
Kuèilovina;Grad Zagreb;Grad Zagreb;;216;33065;10362;2468929;5084227
Brezovec Zelinski;Sveti Ivan Zelina;Zagrebaèka;;134;5720;10382;2482126.5;5083910.5
Gradeèki Pavlovec;Gradec;Zagrebaèka;;482;22110;10345;2498304;5083252.5
Sveta Helena;Sveti Ivan Zelina;Zagrebaèka;;400;61824;10382;2482054.328;5083433.373
Hrebine;Pušæa;Zagrebaèka;;311;23736;10294;2443030.761;5084471.671
Vrboveèki Pavlovec;Vrbovec;Zagrebaèka;;364;70700;10340;2495152.203;5083337.37
Donja Bistra;Bistra;Zagrebaèka;;1224;11827;10298;2450284.779;5083620.262
Marija Gorica;Marija Gorica;Zagrebaèka;Opæine;184;39225;10299;2440351.713;5084415.523
Zagreb;Grad Zagreb;Grad Zagreb;Države;682598;72150;10000;2459796.909;5073390.962
Dijaneš;Vrbovec;Zagrebaèka;;162;10901;10340;2489564.686;5083520.832
Pojatno;Zaprešiæ;Zagrebaèka;;1104;49921;10294;2446260.566;5083673.644
Bolè;Farkaševac;Zagrebaèka;;454;3964;10344;2514033.758;5081885.208
Grabriæ;Gradec;Zagrebaèka;;85;21873;10345;2500842.783;5083134.552
Cerje;Vrbovec;Zagrebaèka;;205;7820;10340;2493932.715;5083075.236
Hrastina;Marija Gorica;Zagrebaèka;;158;23566;10299;2440856.235;5084083.06
Gaj;Vrbovec;Zagrebaèka;;417;17299;10340;2490555.936;5082690.839
Poljanica Bistranska;Bistra;Zagrebaèka;;1085;50334;10298;2452437.661;5082899.486
Dulepska;Vrbovec;Zagrebaèka;;160;15938;10341;2488043.823;5082689.373
Vrhovec;Vrbovec;Zagrebaèka;;147;71021;10347;2485181.5;5082980
Prekvršje;Grad Zagreb;Grad Zagreb;;636;51543;10362;2470144.832;5082978.509
Vukovje Zelinsko;Sveti Ivan Zelina;Zagrebaèka;;88;71722;10382;2480136.5;5082925
Vukovo Selo;Brdovec;Zagrebaèka;;373;71757;10292;2437137.289;5083763.261
Prepuštovec;Grad Zagreb;Grad Zagreb;;324;51616;10362;2471975.842;5082340.229
